Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
87;Sandy Alser;Caomei Bala;Personerna har liknande ansiktsdrag (avstånd 0.328). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Sandy Alser har 71% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Caomei Bala har 85% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Sandy Alser har bara 3 bilder – samla fler träningsbilder.;0.469;3;11;71%;85%;"high_yaw(12); multiple_faces(6); low_focus(3)";"high_yaw(33); no_faces(12); multiple_faces(8)";0.0423;0.0934;0.3276;0;1;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Caomei Bala (avstånd 0.328); Hög andel misslyckade bilder (71%)";"Ömsesidig förväxling med Sandy Alser (avstånd 0.328); Hög andel misslyckade bilder (85%); 1 outlier-embedding(s)"
88;Cindy P;Summer Breeze;Extremt lika embeddings (avstånd 0.087). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Cindy P har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.469;18;20;70%;0%;"high_yaw(29); no_faces(21); low_focus(20)";;0.1618;0.1791;0.0874;1;0;"Ömsesidig förväxling med Summer Breeze (avstånd 0.087); Hög andel misslyckade bilder (70%); 1 outlier-embedding(s)";Ömsesidig förväxling med Cindy P (avstånd 0.087)
89;Jayla Diamond_1;Teagan Summers;Personerna har liknande ansiktsdrag (avstånd 0.165). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Teagan Summers har 80% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.469;7;23;0%;80%;;"high_yaw(43); no_faces(15); multiple_faces(15)";0.1056;0.1691;0.1654;0;1;"Få träningsbilder (7 st); Ömsesidig förväxling med Teagan Summers (avstånd 0.165)";"Ömsesidig förväxling med Jayla Diamond_1 (avstånd 0.165); Hög andel misslyckade bilder (80%); 1 outlier-embedding(s)"
90;Esmeralda Bel;Esmeralda Bel_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Esmeralda Bel' och 'Esmeralda Bel_1' i merge.txt. | Esmeralda Bel har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.468;5;5;67%;0%;"high_yaw(17); no_faces(4); low_focus(2)";;0.1132;0.1124;0.3256;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Esmeralda Bel_1 (avstånd 0.326); Hög andel misslyckade bilder (67%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Esmeralda Bel (avstånd 0.326)"
91;Elle Alexandra;Elle Alexandra_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Elle Alexandra' och 'Elle Alexandra_1' i merge.txt. | Elle Alexandra har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.468;13;10;73%;0%;"high_yaw(26); high_pitch(5); low_focus(4)";;0.1849;0.1128;0.1864;0;0;"Ömsesidig förväxling med Elle Alexandra_1 (avstånd 0.186); Hög andel misslyckade bilder (73%)";Ömsesidig förväxling med Elle Alexandra (avstånd 0.186)
92;Zoey Taylor;Shauna Skye_1;Personerna har liknande ansiktsdrag (avstånd 0.190). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Zoey Taylor har 65% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.467;74;10;65%;0%;"high_yaw(59); no_faces(34); high_pitch(21)";;0.2348;0.0662;0.1898;4;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Shauna Skye_1 (avstånd 0.190); Hög andel misslyckade bilder (65%); 4 outlier-embedding(s)";"Ömsesidig förväxling med Zoey Taylor (avstånd 0.190); 1 outlier-embedding(s)"
93;Sofya Curly_1;Sofya Curly;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Sofya Curly_1' och 'Sofya Curly' i merge.txt.;0.467;7;9;0%;45%;;"high_yaw(14); high_pitch(3)";0.1159;0.1873;0.2492;1;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Sofya Curly (avstånd 0.249); 1 outlier-embedding(s)";Ömsesidig förväxling med Sofya Curly_1 (avstånd 0.249)
94;Lira Red;Isadora;Extremt lika embeddings (avstånd 0.119). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Lira Red har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.467;48;79;62%;0%;"high_yaw(58); no_faces(53); low_focus(23)";;0.1681;0.1805;0.1187;3;1;"Ömsesidig förväxling med Isadora (avstånd 0.119); Hög andel misslyckade bilder (62%); 3 outlier-embedding(s)";"Ömsesidig förväxling med Lira Red (avstånd 0.119); 1 outlier-embedding(s)"
95;Helena White;Helena White_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Helena White' och 'Helena White_1' i merge.txt. | Helena White har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.466;9;8;62%;0%;"high_yaw(19); low_focus(6); no_faces(4)";;0.1483;0.1468;0.2464;0;0;"Ömsesidig förväxling med Helena White_1 (avstånd 0.246); Hög andel misslyckade bilder (62%)";Ömsesidig förväxling med Helena White (avstånd 0.246)
96;Priscilla Clark;Priscilla Clark_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Priscilla Clark' och 'Priscilla Clark_1' i merge.txt. | Priscilla Clark har 74% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.466;10;8;74%;0%;"high_yaw(25); no_faces(2); high_pitch(1)";;0.1487;0.1532;0.2400;0;0;"Ömsesidig förväxling med Priscilla Clark_1 (avstånd 0.240); Hög andel misslyckade bilder (74%)";Ömsesidig förväxling med Priscilla Clark (avstånd 0.240)
97;Shana Ryder;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 90% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.464;6;;90%;;"high_yaw(25); low_focus(20); multiple_faces(4)";;0.3368;;0.6834;1;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (90%); 1 outlier-embedding(s)";
98;Megan Medellin_1;Megan Medellin;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Megan Medellin_1' och 'Megan Medellin' i merge.txt.;0.464;8;22;0%;49%;;"high_yaw(40); high_pitch(7); multiple_faces(1)";0.1478;0.1751;0.2436;1;0;"Ömsesidig förväxling med Megan Medellin (avstånd 0.244); 1 outlier-embedding(s)";Ömsesidig förväxling med Megan Medellin_1 (avstånd 0.244)
99;Angelic Anya_1;Angelic Anya;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Angelic Anya_1' och 'Angelic Anya' i merge.txt. | Angelic Anya har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.463;5;15;0%;67%;;"high_yaw(20); high_pitch(16); no_faces(7)";0.1140;0.1818;0.2317;0;1;"Få träningsbilder (5 st); Ömsesidig förväxling med Angelic Anya (avstånd 0.232)";"Ömsesidig förväxling med Angelic Anya_1 (avstånd 0.232); Hög andel misslyckade bilder (67%); 1 outlier-embedding(s)"
100;Jade Indica;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 99% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.463;3;;99%;;"no_faces(94); high_yaw(90); multiple_faces(25)";;0.0410;;0.3126;0;;"Mycket få träningsbilder (3 st); Ganska lik Kendall Kay_1 (avstånd 0.313); Hög andel misslyckade bilder (99%)";
101;Cassidy Klein;Cassidy Klein_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Cassidy Klein' och 'Cassidy Klein_1' i merge.txt. | Cassidy Klein har 87% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.462;8;10;87%;0%;"high_yaw(35); high_pitch(12); no_faces(5)";;0.1408;0.1042;0.3752;1;0;"Ömsesidig förväxling med Cassidy Klein_1 (avstånd 0.375); Hög andel misslyckade bilder (87%); 1 outlier-embedding(s)";Ömsesidig förväxling med Cassidy Klein (avstånd 0.375)
102;Sybil A Kailena;Sybil A_1;Extremt lika embeddings (avstånd 0.031). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Sybil A Kailena har 53% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.461;73;19;53%;0%;"high_yaw(32); no_faces(13); low_focus(5)";;0.1896;0.1606;0.0308;3;0;"Ömsesidig förväxling med Sybil A_1 (avstånd 0.031); Hög andel misslyckade bilder (53%); 3 outlier-embedding(s)";Ömsesidig förväxling med Sybil A Kailena (avstånd 0.031)
103;Aurelly Rebel;Crystal Rush;Personerna har liknande ansiktsdrag (avstånd 0.226). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Aurelly Rebel har 88% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Crystal Rush har 85% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.461;12;27;88%;85%;"high_yaw(36); no_faces(29); multiple_faces(15)";"high_yaw(50); no_faces(19); multiple_faces(16)";0.1614;0.1891;0.2262;0;1;"Ömsesidig förväxling med Crystal Rush (avstånd 0.226); Hög andel misslyckade bilder (88%)";"Ömsesidig förväxling med Aurelly Rebel (avstånd 0.226); Hög andel misslyckade bilder (85%); 1 outlier-embedding(s)"
104;Haley Reed;Haley Reed_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Haley Reed' och 'Haley Reed_1' i merge.txt. | Haley Reed har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.460;7;5;59%;0%;"high_yaw(21); no_faces(6); high_pitch(2)";;0.1043;0.0709;0.2693;0;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Haley Reed_1 (avstånd 0.269); Hög andel misslyckade bilder (59%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Haley Reed (avstånd 0.269)"
105;Bella Spark;Bella Spark_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Bella Spark' och 'Bella Spark_1' i merge.txt.;0.459;10;7;38%;0%;"high_yaw(18); high_pitch(4); low_focus(1)";;0.1654;0.1390;0.2079;0;0;Ömsesidig förväxling med Bella Spark_1 (avstånd 0.208);"Få träningsbilder (7 st); Ömsesidig förväxling med Bella Spark (avstånd 0.208)"
106;Jasmine Lynn;Shay Jordan;Extremt lika embeddings (avstånd 0.084). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Shay Jordan har 50% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.459;8;50;0%;50%;;"high_yaw(40); no_faces(7); multiple_faces(6)";0.0838;0.1799;0.0844;0;1;Ömsesidig förväxling med Shay Jordan (avstånd 0.084);"Ömsesidig förväxling med Jasmine Lynn (avstånd 0.084); Hög andel misslyckade bilder (50%); 1 outlier-embedding(s)"
107;Alisa Kovi;Alisa Horakova;Personerna har liknande ansiktsdrag (avstånd 0.352). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Alisa Kovi har 82% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.457;5;97;82%;47%;"high_yaw(12); no_faces(10); low_focus(5)";"no_faces(34); high_pitch(22); high_yaw(21)";0.0946;0.1719;0.3519;0;3;"Få träningsbilder (5 st); Ömsesidig förväxling med Alisa Horakova (avstånd 0.352); Hög andel misslyckade bilder (82%)";"Ömsesidig förväxling med Alisa Kovi (avstånd 0.352); 3 outlier-embedding(s)"
108;Emily Thorne_1_1;Emily Thorne;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Emily Thorne_1_1' och 'Emily Thorne' i merge.txt. | Emily Thorne har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.457;5;13;0%;73%;;"high_yaw(30); low_focus(3); high_pitch(2)";0.1066;0.1926;0.2353;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Emily Thorne (avstånd 0.235)";"Ömsesidig förväxling med Emily Thorne_1_1 (avstånd 0.235); Hög andel misslyckade bilder (73%)"
109;Samira_1;Samira Siena;Extremt lika embeddings (avstånd 0.081). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Samira Siena har 63% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.457;8;75;0%;63%;;"no_faces(83); high_yaw(22); high_pitch(6)";0.0799;0.1328;0.0810;0;4;Ömsesidig förväxling med Samira Siena (avstånd 0.081);"Ömsesidig förväxling med Samira_1 (avstånd 0.081); Hög andel misslyckade bilder (63%); 4 outlier-embedding(s)"
110;Sugary Babe;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 69% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.456;4;;69%;;"high_pitch(5); high_yaw(2); low_focus(2)";;0.4059;;0.6961;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (69%)";
111;Claudia Jennings;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 77% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.455;3;;77%;;"high_yaw(5); low_focus(3); no_faces(1)";;0.3571;;0.7197;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (77%)";
112;Ashly Dieter;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 54% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.454;6;;54%;;"high_yaw(5); high_pitch(1); low_focus(1)";;0.5395;;0.6992;0;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (54%)";
113;Shauna OBrien;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 65% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.452;7;;65%;;"high_yaw(8); no_faces(3); low_focus(2)";;0.4127;;0.6864;1;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (65%); 1 outlier-embedding(s)";
114;Yenifer Chacon_1;Yenifer Chacon;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Yenifer Chacon_1' och 'Yenifer Chacon' i merge.txt.;0.452;9;20;0%;45%;;"high_yaw(19); no_faces(10); multiple_faces(2)";0.1464;0.2079;0.1710;0;0;Ömsesidig förväxling med Yenifer Chacon (avstånd 0.171);"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Yenifer Chacon_1 (avstånd 0.171)"
115;Veronique Tinkler;Velour Noir_1;Personerna har liknande ansiktsdrag (avstånd 0.301). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Veronique Tinkler har 95% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.452;8;5;95%;0%;"high_yaw(62); multiple_faces(33); no_faces(20)";;0.0925;0.1238;0.3013;0;0;"Ömsesidig förväxling med Velour Noir_1 (avstånd 0.301); Hög andel misslyckade bilder (95%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Veronique Tinkler (avstånd 0.301)"
116;Yuki Minami;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 68% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.452;7;;68%;;"high_yaw(10); low_focus(3); no_faces(1)";;0.5784;;0.6666;0;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (68%)";
117;Charley Chase;Kendall Kay_1;Personerna har liknande ansiktsdrag (avstånd 0.177). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Charley Chase har 81% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.452;37;22;81%;0%;"high_yaw(55); no_faces(40); multiple_faces(29)";;0.1922;0.1302;0.1773;0;0;"Ömsesidig förväxling med Kendall Kay_1 (avstånd 0.177); Hög andel misslyckade bilder (81%)";Ömsesidig förväxling med Charley Chase (avstånd 0.177)
118;Juelz Ventura;Juelz Ventura_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Juelz Ventura' och 'Juelz Ventura_1' i merge.txt. | Juelz Ventura har 61% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.451;12;9;61%;0%;"high_yaw(35); high_pitch(16); low_focus(8)";;0.1405;0.1629;0.1857;0;0;"Ömsesidig förväxling med Juelz Ventura_1 (avstånd 0.186); Hög andel misslyckade bilder (61%)";Ömsesidig förväxling med Juelz Ventura (avstånd 0.186)
119;Stacy Cream;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 90% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.450;4;;90%;;"no_faces(22); high_yaw(11); low_focus(2)";;0.3537;;0.6361;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (90%)";
120;Veronica Lavery;Veronica Lavery_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Veronica Lavery' och 'Veronica Lavery_1' i merge.txt. | Veronica Lavery har 61% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.450;13;10;61%;0%;"high_yaw(37); high_pitch(9)";;0.1428;0.1455;0.2012;1;0;"Ömsesidig förväxling med Veronica Lavery_1 (avstånd 0.201); Hög andel misslyckade bilder (61%); 1 outlier-embedding(s)";Ömsesidig förväxling med Veronica Lavery (avstånd 0.201)
121;Charlyse Bella;Charlyse Bella_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Charlyse Bella' och 'Charlyse Bella_1' i merge.txt. | Charlyse Bella har 79% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.449;21;34;79%;0%;"high_yaw(36); no_faces(18); high_pitch(16)";;0.1910;0.1741;0.2030;1;0;"Ömsesidig förväxling med Charlyse Bella_1 (avstånd 0.203); Hög andel misslyckade bilder (79%); 1 outlier-embedding(s)";Ömsesidig förväxling med Charlyse Bella (avstånd 0.203)
122;Briana Blair_1;Briana Blair;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Briana Blair_1' och 'Briana Blair' i merge.txt. | Briana Blair har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.448;5;8;0%;62%;;"high_yaw(17); high_pitch(5); no_faces(3)";0.1209;0.0891;0.2609;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Briana Blair (avstånd 0.261)";"Ömsesidig förväxling med Briana Blair_1 (avstånd 0.261); Hög andel misslyckade bilder (62%)"
123;Ardelia A_1;Ardelia Alina;Personerna har liknande ansiktsdrag (avstånd 0.219). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Ardelia Alina har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.447;7;21;0%;62%;;"no_faces(13); high_yaw(12); high_pitch(7)";0.1329;0.1428;0.2192;0;1;"Få träningsbilder (7 st); Ömsesidig förväxling med Ardelia Alina (avstånd 0.219)";"Ömsesidig förväxling med Ardelia A_1 (avstånd 0.219); Hög andel misslyckade bilder (62%); 1 outlier-embedding(s)"
124;Vera C Valene;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.447;4;;33%;;"high_pitch(1); high_yaw(1)";;0.4608;;0.6980;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen";
125;Dona Speir;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.445;6;;45%;;"high_yaw(2); multiple_faces(1); high_pitch(1)";;0.5052;;0.6956;0;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen";
126;Kimberly Henessey;Elle Perkins;Extremt lika embeddings (avstånd 0.023). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Kimberly Henessey har 53% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.445;95;32;53%;0%;"no_faces(59); high_pitch(27); high_yaw(26)";;0.1358;0.1253;0.0229;7;3;"Ömsesidig förväxling med Elle Perkins (avstånd 0.023); Hög andel misslyckade bilder (53%); 7 outlier-embedding(s)";"Ömsesidig förväxling med Kimberly Henessey (avstånd 0.023); 3 outlier-embedding(s)"
127;Lasirena69;LaSirena69;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Lasirena69' och 'LaSirena69' i merge.txt. | LaSirena69 har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.445;7;14;0%;67%;;"high_yaw(60); low_focus(4); no_faces(4)";0.1280;0.1554;0.2193;0;0;"Få träningsbilder (7 st); Ömsesidig förväxling med LaSirena69 (avstånd 0.219)";"Ömsesidig förväxling med Lasirena69 (avstånd 0.219); Hög andel misslyckade bilder (67%)"
128;Annika Eve;Annika Eve_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Annika Eve' och 'Annika Eve_1' i merge.txt. | Annika Eve har 57% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.445;5;5;57%;0%;"high_yaw(9); low_focus(4)";;0.0808;0.0840;0.3213;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Annika Eve_1 (avstånd 0.321); Hög andel misslyckade bilder (57%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Annika Eve (avstånd 0.321)"
129;Andrea Tiffani Shegal_1;Andrea Tiffani Shegal;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Andrea Tiffani Shegal_1' och 'Andrea Tiffani Shegal' i merge.txt. | Andrea Tiffani Shegal har 72% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.444;5;14;0%;72%;;"high_yaw(46); low_focus(8); multiple_faces(3)";0.0912;0.1428;0.2430;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Andrea Tiffani Shegal (avstånd 0.243)";"Ömsesidig förväxling med Andrea Tiffani Shegal_1 (avstånd 0.243); Hög andel misslyckade bilder (72%)"
130;Melissa Mendiny;Melisa A;Personerna har liknande ansiktsdrag (avstånd 0.378). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Melissa Mendiny har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Melisa A har 77% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Melissa Mendiny har bara 1 bilder – samla fler träningsbilder.;0.444;1;22;67%;77%;"high_pitch(1); high_yaw(1)";"high_yaw(32); no_faces(23); high_pitch(15)";0.0000;0.1581;0.3781;0;0;"Mycket få träningsbilder (1 st); Ömsesidig förväxling med Melisa A (avstånd 0.378); Hög andel misslyckade bilder (67%)";"Ömsesidig förväxling med Melissa Mendiny (avstånd 0.378); Hög andel misslyckade bilder (77%)"
131;Zhaddie Grey;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.444;3;;67%;;"high_yaw(5); high_pitch(1)";;0.3540;;0.7208;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (67%)";
132;Jenny Reid_1;Jenny Reid;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jenny Reid_1' och 'Jenny Reid' i merge.txt. | Jenny Reid har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.443;7;13;0%;59%;;"high_yaw(22); high_pitch(7); low_focus(5)";0.1159;0.1685;0.2126;0;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Jenny Reid (avstånd 0.213)";"Ömsesidig förväxling med Jenny Reid_1 (avstånd 0.213); Hög andel misslyckade bilder (59%)"
133;Stacy Sweetstorm_1;Stacy Sweetstorm;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Stacy Sweetstorm_1' och 'Stacy Sweetstorm' i merge.txt. | Stacy Sweetstorm har 55% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.443;7;8;0%;55%;;"high_pitch(12); high_yaw(10); no_faces(4)";0.1225;0.0960;0.2914;1;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Stacy Sweetstorm (avstånd 0.291); 1 outlier-embedding(s)";"Ömsesidig förväxling med Stacy Sweetstorm_1 (avstånd 0.291); Hög andel misslyckade bilder (55%)"
134;Cindy Dollar;;58% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.442;7;;58%;;"high_yaw(16); no_faces(7); low_focus(5)";;0.1395;;0.3326;1;;"Få träningsbilder (7 st); Ganska lik Cindy Dollar_1 (avstånd 0.333); Hög andel misslyckade bilder (58%); 1 outlier-embedding(s)";
135;Julia Swork_1;Julia Swork;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Julia Swork_1' och 'Julia Swork' i merge.txt. | Julia Swork har 66% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.442;6;14;0%;66%;;"high_yaw(36); no_faces(10); low_focus(4)";0.1328;0.1840;0.2536;0;0;"Få träningsbilder (6 st); Ömsesidig förväxling med Julia Swork (avstånd 0.254)";"Ömsesidig förväxling med Julia Swork_1 (avstånd 0.254); Hög andel misslyckade bilder (66%)"
136;Ora Young;Ora Young_1_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Ora Young' och 'Ora Young_1_1' i merge.txt. | Ora Young har 57% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.441;30;15;57%;0%;"high_yaw(29); high_pitch(3); multiple_faces(3)";;0.1798;0.1854;0.1817;2;1;"Ömsesidig förväxling med Ora Young_1_1 (avstånd 0.182); Hög andel misslyckade bilder (57%); 2 outlier-embedding(s)";"Ömsesidig förväxling med Ora Young (avstånd 0.182); 1 outlier-embedding(s)"
137;Eve Blue;Donna Joe_1;Personerna har liknande ansiktsdrag (avstånd 0.164). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Eve Blue har 83% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.440;17;9;83%;0%;"high_yaw(37); no_faces(30); high_pitch(10)";;0.1476;0.0991;0.1641;0;0;"Ömsesidig förväxling med Donna Joe_1 (avstånd 0.164); Hög andel misslyckade bilder (83%)";Ömsesidig förväxling med Eve Blue (avstånd 0.164)
138;Stevie Knicks;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 90% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.440;9;;90%;;"high_yaw(36); multiple_faces(22); no_faces(21)";;0.5060;;0.6690;0;;"Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (90%)";
