label;count;min;median;mean;max;std;centroid_norm;aliases
Samantha Sparkle;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Sandra Sturm;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Sarah Blake;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Sarah Heizel;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sasha Bonilova;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Savvanah Star;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Shiela Cruiz;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Silvie Thomas;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sofi Von Doom;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Soko Ahe;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Stefania Silk;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Subana Grande;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Summer Raine;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sunny Jay;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Svanhild;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sweet Claudia;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Sydney Simona;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Taylor Seinturier;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ten Amorette;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tera19;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Tess Dagger;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tessa Taylor;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tiffany Lopez;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tina Hot;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Tonisha Mills;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Valentine Chevalier;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Victoria Cross;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Victoria Silvstedt;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Violet Indira;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Waka Kano;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Wakako Hujimori;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Whitney Jean;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Whitney Morgan;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Yulenka Moore;1;1.0;1.0;1.0;1.0;0.0;0.9999998807907104;
Ziva Fey;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Zoey Andrews;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
Zoey Laine;1;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.0;0.9999998807907104;
AJ Alexander;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
AJ Bailey;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
AJ Estrada;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aaliyah Grey;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aaron Evans;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aaron Rock;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aayla Secura;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abbey Brooks;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abbi Taylor;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abbie Chan;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Abbie Lee;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abby Darling;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abby North;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abby Paradise;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abby Tits;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abel Archer;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abi Grace;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Abigail Dupree;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aby Action;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Ada Vera;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adaline Star;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adam Sharps;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Addie Juniper;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Addis Fouche;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Addison;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Addison Belgium;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Addison ORiley;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Addison Vodka;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Adel Asanty;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adele Shaw;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adele Taylor;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adella Skyy;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adella Storm;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adelyn Ames;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adessa Winters;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adora;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrian Hush;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adriana Brill;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adriana Kelly;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adriana Love;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adriana Lynn;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Adriana Malao;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adriana Maya;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Adriana Morriss;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Adriana Russo;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Adriana Sephora;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adriana Sweet;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrianna Luna;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrianna Milano;1;1.000000238418579;1.000000238418579;1.000000238418579;1.000000238418579;0.0;0.9999999403953552;
Adrianne Black;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrienn Levai;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrienne Anderson;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrienne Klass;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Adrola Dushi;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aerial Cruz;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aeris;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Afina Kisser;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Afina Ray;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Africa Danger;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Africa Sexxx;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aften Opal;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Agatha Self;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Ahna Lynn;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Ai Shirosakia;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aideen Halligan;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aidra Fox;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Ailyn Tattoo;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Ainara Reina;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aino Kishi;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Ainslee Divine;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Ainsley Addison;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Airi Miyazaki;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Airi Mizusawa;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Airi Sawada;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aisha Devereaux;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aitana;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Akari Asagiri;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Akari Satsuki;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Akiho Nishimura;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Akina Nakahara;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alaina Dawson;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alana Cole;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alana Evans;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alana Freitas;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alana Jade;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alana Leigh;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alana Ryder;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alanna Anderson;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alanna Thomas;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alannah Monroe;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alayah Sashu;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alby Daor;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Aleida;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alejandra Cobos;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alejandra La Torre;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alejandra Maderos;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alena LamLam;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alena Sibilova;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alessa Snow;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alessandra Amore;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alessandra Miller;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex Adams;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alex Amillion;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex Dane;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex De La Flor;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex Dupree;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alex Mae;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex Ryan;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex Sim Wise;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alex Taylor;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Aimes;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Johnson;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Lynn;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa May;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Osins;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Rovento;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Rydell;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexa Von Tess;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
