Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
21;Alexandra Smelova;Aleksandra Smelova;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Alexandra Smelova' och 'Aleksandra Smelova' i merge.txt. | Alexandra Smelova har 57% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.494;59;21;57%;0%;"high_yaw(47); no_faces(13); low_focus(8)";;0.2408;0.2592;0.0050;3;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Aleksandra Smelova (avstånd 0.005); Hög andel misslyckade bilder (57%); 3 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Alexandra Smelova (avstånd 0.005); 1 outlier-embedding(s)"
22;Melena Maria Rya;Maria Rya;Extremt lika embeddings (avstånd 0.064). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.493;206;25;37%;0%;"high_yaw(39); no_faces(16); low_focus(16)";;0.2820;0.2485;0.0638;9;3;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Maria Rya (avstånd 0.064); 9 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Melena Maria Rya (avstånd 0.064); 3 outlier-embedding(s)"
23;Blonde Cat;Cat OConnell;Personerna har liknande ansiktsdrag (avstånd 0.340). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Blonde Cat har 88% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Blonde Cat har bara 1 bilder – samla fler träningsbilder.;0.490;1;11;88%;21%;"high_yaw(5); low_focus(2)";ok(3);0.0000;0.1708;0.3399;0;1;"Mycket få träningsbilder (1 st); Ömsesidig förväxling med Cat OConnell (avstånd 0.340); Hög andel misslyckade bilder (88%)";"Ömsesidig förväxling med Blonde Cat (avstånd 0.340); 1 outlier-embedding(s)"
24;Sofi FoXXXy;Sofi Foxxxy;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Sofi FoXXXy' och 'Sofi Foxxxy' i merge.txt.;0.485;63;28;45%;0%;"high_yaw(35); low_focus(9); no_faces(5)";;0.2477;0.2396;0.0202;3;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Sofi Foxxxy (avstånd 0.020); 3 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Sofi FoXXXy (avstånd 0.020); 1 outlier-embedding(s)"
25;Holly Belle;Lolly A;Extremt lika embeddings (avstånd 0.127). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.485;11;23;48%;0%;"high_yaw(14); no_faces(9); low_focus(9)";;0.0786;0.1694;0.1268;1;2;"Ömsesidig förväxling med Lolly A (avstånd 0.127); 1 outlier-embedding(s)";"Ömsesidig förväxling med Holly Belle (avstånd 0.127); 2 outlier-embedding(s)"
26;Yuki Minami;Yuu Mizuki;Hög varians i Yuki Minami och Yuu Mizuki tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person. | Yuki Minami har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Yuu Mizuki har 84% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.484;7;8;73%;84%;"low_focus(7); high_yaw(6); no_faces(6)";"no_faces(21); high_yaw(13); low_focus(8)";0.5521;0.2520;0.5575;0;1;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Yuu Mizuki (avstånd 0.558); Hög andel misslyckade bilder (73%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Yuki Minami (avstånd 0.558); Hög andel misslyckade bilder (84%); 1 outlier-embedding(s)"
27;Chloe Surreal;Vince Karter;Extremt lika embeddings (avstånd 0.059). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Chloe Surreal har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Vince Karter har 57% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.483;14;15;56%;57%;"high_yaw(14); low_focus(4)";"high_yaw(15); low_focus(4); no_faces(1)";0.1719;0.1808;0.0592;1;1;"Ömsesidig förväxling med Vince Karter (avstånd 0.059); Hög andel misslyckade bilder (56%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Chloe Surreal (avstånd 0.059); Hög andel misslyckade bilder (57%); 1 outlier-embedding(s)"
28;Emily Jane Williams;Emily J;Hög varians i Emily Jane Williams tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.475;31;48;44%;0%;"high_yaw(45); no_faces(2); low_focus(1)";;0.4452;0.1541;0.2959;1;2;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Emily J (avstånd 0.296); 1 outlier-embedding(s)";"Ömsesidig förväxling med Emily Jane Williams (avstånd 0.296); 2 outlier-embedding(s)"
29;Silke Mausz;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 75% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.475;6;;75%;;"high_yaw(9); low_focus(5); no_faces(4)";;0.6312;;0.7053;0;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (75%)";
30;Maria Pie;Patritcy A;Extremt lika embeddings (avstånd 0.081). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.472;37;35;30%;0%;"ok(16); high_yaw(8); low_focus(4)";;0.2468;0.1430;0.0813;2;2;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Patritcy A (avstånd 0.081); 2 outlier-embedding(s)";"Ömsesidig förväxling med Maria Pie (avstånd 0.081); 2 outlier-embedding(s)"
31;Elouise Please;Jessica Lo;Hög varians i Elouise Please tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Elouise Please har 54% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.471;18;19;54%;38%;"high_yaw(13); no_faces(2)";"ok(7); high_yaw(6); no_faces(2)";0.2637;0.2018;0.1899;1;2;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jessica Lo (avstånd 0.190); Hög andel misslyckade bilder (54%); 1 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Elouise Please (avstånd 0.190); 2 outlier-embedding(s)"
32;Alice Sadique;Ten Amorette;Hög varians i Alice Sadique tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Alice Sadique har 90% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Ten Amorette har bara 3 bilder – samla fler träningsbilder.;0.463;5;3;90%;40%;"no_faces(36); low_focus(5); high_yaw(4)";ok(2);0.4134;0.2453;0.6934;0;0;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Ten Amorette (avstånd 0.693); Hög andel misslyckade bilder (90%)";"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Alice Sadique (avstånd 0.693)"
33;Aria Spencer;Ana Spencer;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Aria Spencer' och 'Ana Spencer' i merge.txt. | Aria Spencer har 64% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.462;28;18;64%;0%;"no_faces(40); high_yaw(16)";;0.1723;0.1357;0.0291;1;2;"Ömsesidig förväxling med Ana Spencer (avstånd 0.029); Hög andel misslyckade bilder (64%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Aria Spencer (avstånd 0.029); 2 outlier-embedding(s)"
34;Jesse Jordan;Jesse Jorden;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jesse Jordan' och 'Jesse Jorden' i merge.txt. | Jesse Jordan har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.456;37;10;59%;0%;"ok(60); high_yaw(7)";;0.2220;0.1217;0.1867;2;0;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jesse Jorden (avstånd 0.187); Hög andel misslyckade bilder (59%); 2 outlier-embedding(s)";Ömsesidig förväxling med Jesse Jordan (avstånd 0.187)
35;Summer Breeze;Cindy P;Extremt lika embeddings (avstånd 0.102). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.456;25;16;26%;27%;"no_faces(7); low_focus(1); high_yaw(1)";"high_yaw(3); low_focus(2); no_faces(1)";0.2063;0.1374;0.1021;2;0;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Cindy P (avstånd 0.102); 2 outlier-embedding(s)";Ömsesidig förväxling med Summer Breeze (avstånd 0.102)
36;Claudia Jennings;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 77% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.455;3;;77%;;"high_yaw(5); low_focus(4); no_faces(1)";;0.3571;;0.7163;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (77%)";
37;Betty Saint;Betty C;Extremt lika embeddings (avstånd 0.138). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.455;25;56;50%;48%;"no_faces(17); high_yaw(7); low_focus(1)";"high_yaw(15); no_faces(5); low_focus(4)";0.1838;0.1364;0.1380;1;3;"Ömsesidig förväxling med Betty C (avstånd 0.138); 1 outlier-embedding(s)";"Ömsesidig förväxling med Betty Saint (avstånd 0.138); 3 outlier-embedding(s)"
38;Vanessa X;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 80% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.455;6;;80%;;"low_focus(10); high_yaw(9); no_faces(5)";;0.4497;;0.6886;0;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (80%)";
39;Giada Suicide;Jordan Perry;Hög varians i Giada Suicide tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.455;10;13;50%;28%;high_yaw(10);high_yaw(5);0.3865;0.1466;0.4542;1;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Jordan Perry (avstånd 0.454); 1 outlier-embedding(s)";"Ömsesidig förväxling med Giada Suicide (avstånd 0.454); 1 outlier-embedding(s)"
40;Damanie Rose;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 88% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.453;3;;88%;;"no_faces(12); high_yaw(11)";;0.3298;;0.7136;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (88%)";
41;Tsubasa Tamaki;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 90% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.452;5;;90%;;"high_yaw(25); low_focus(11); no_faces(9)";;0.3511;;0.5601;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (90%)";
42;Amber Deep;Sabrina Frash;Personerna har liknande ansiktsdrag (avstånd 0.277). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Amber Deep har 58% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.449;11;15;58%;48%;"no_faces(8); high_yaw(5); low_focus(2)";"no_faces(10); high_yaw(4)";0.1690;0.1194;0.2770;1;1;"Ömsesidig förväxling med Sabrina Frash (avstånd 0.277); Hög andel misslyckade bilder (58%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Amber Deep (avstånd 0.277); 1 outlier-embedding(s)"
43;Cristina Agave;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 85% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.448;6;;85%;;"high_yaw(23); low_focus(6); no_faces(5)";;0.3149;;0.6527;1;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (85%); 1 outlier-embedding(s)";
44;Ariel X;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 83% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.447;7;;83%;;"high_yaw(17); no_faces(15); low_focus(3)";;0.4603;;0.6980;0;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (83%)";
45;Sugar Amy;Shawnie Jones;Personerna har liknande ansiktsdrag (avstånd 0.186). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder.;0.446;11;26;45%;42%;"low_focus(4); high_yaw(3); no_faces(2)";"high_yaw(13); no_faces(6)";0.1300;0.1859;0.1861;0;1;Ömsesidig förväxling med Shawnie Jones (avstånd 0.186);"Ömsesidig förväxling med Sugar Amy (avstånd 0.186); 1 outlier-embedding(s)"
