Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
21;Syndy Love;Dara Lee;Hög varians i Syndy Love tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.469;12;6;50%;40%;unknown(12);unknown(4);0.3855;0.1512;0.3286;0;0;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Dara Lee (avstånd 0.329)";"Få träningsbilder (6 st); Ömsesidig förväxling med Syndy Love (avstånd 0.329)"
22;Aubrey Destremps;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 55% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.469;5;;55%;;unknown(6);;0.4952;;0.6276;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (55%)";
23;Iman;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 69% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.469;4;;69%;;unknown(9);;0.4325;;0.6995;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (69%)";
24;Brielle Valentine;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 64% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.468;4;;64%;;unknown(7);;0.4427;;0.7447;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (64%)";
25;Sedenna;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 57% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.468;3;;57%;;unknown(4);;0.4222;;0.7614;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (57%)";
26;Glaiza De Castro;Ailyn;Hög varians i Glaiza De Castro tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Glaiza De Castro har 64% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.468;4;32;64%;35%;unknown(7);unknown(17);0.4420;0.1676;0.6587;0;2;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Ailyn (avstånd 0.659); Hög andel misslyckade bilder (64%)";"Ömsesidig förväxling med Glaiza De Castro (avstånd 0.659); 2 outlier-embedding(s)"
27;Zander Storm;Mell Blanco;Hög varians i Zander Storm tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.468;5;7;44%;42%;unknown(4);unknown(5);0.5540;0.2192;0.5899;0;1;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Mell Blanco (avstånd 0.590)";"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Zander Storm (avstånd 0.590); 1 outlier-embedding(s)"
28;Adora;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 64% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.467;4;;64%;;unknown(7);;0.4409;;0.6765;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (64%)";
29;Bella DellaMorte;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 91% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.467;4;;91%;;unknown(40);;0.3862;;0.7753;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (91%)";
30;Carla Pons;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 93% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.467;2;;93%;;unknown(28);;0.3142;;0.7305;0;;"Mycket få träningsbilder (2 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (93%)";
31;Jeanine Hot;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.467;5;;50%;;unknown(5);;0.5389;;0.6768;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
32;Rebecca Ferdinando;Eva Berger;Hög varians i Rebecca Ferdinando och Eva Berger tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person.;0.467;4;12;33%;50%;unknown(2);unknown(12);0.5284;0.2855;0.6257;0;1;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Eva Berger (avstånd 0.626)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Rebecca Ferdinando (avstånd 0.626); 1 outlier-embedding(s)"
33;Crimson Ninja;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 58% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.467;5;;58%;;unknown(7);;0.4832;;0.7335;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (58%)";
34;Rayssa Sanchez;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.467;3;;67%;;unknown(6);;0.3998;;0.6922;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (67%)";
35;Nataly;Barbora;Hög varians i Nataly och Barbora tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person.;0.466;6;8;33%;25%;unknown(3);unknown(3);0.4849;0.4336;0.5375;0;1;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Barbora (avstånd 0.538)";"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Nataly (avstånd 0.538); 1 outlier-embedding(s)"
36;Belle De Jour;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 58% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.466;5;;58%;;unknown(7);;0.4814;;0.7170;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (58%)";
37;Berry McKockiner;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.466;4;;50%;;unknown(4);;0.4645;;0.7061;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen";
38;Sarah Jessie;Tyler Faith;Hög varians i Sarah Jessie och Tyler Faith tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person. | Sarah Jessie har 68% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.465;8;12;68%;40%;unknown(17);unknown(8);0.3417;0.3128;0.4954;1;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Tyler Faith (avstånd 0.495); Hög andel misslyckade bilder (68%); 1 outlier-embedding(s)";"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Sarah Jessie (avstånd 0.495); 1 outlier-embedding(s)"
39;Dasani Lezian;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 79% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.465;3;;79%;;unknown(11);;0.3721;;0.6945;0;;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (79%)";
40;Carrie Cash;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.465;4;;43%;;unknown(3);;0.4767;;0.7632;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen";
41;Jamie Lee;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 60% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.464;4;;60%;;unknown(6);;0.4404;;0.7385;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (60%)";
42;Dallas Matthews;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.463;2;;67%;;unknown(4);;0.3588;;0.7666;0;;"Mycket få träningsbilder (2 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (67%)";
43;Vivienne Del Rio;Remy LaCroix;Hög varians i Vivienne Del Rio och Remy LaCroix tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person. | Vivienne Del Rio har 82% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Vivienne Del Rio har bara 2 bilder – samla fler träningsbilder.;0.462;2;38;82%;44%;unknown(9);unknown(30);0.3109;0.2524;0.5869;0;1;"Mycket få träningsbilder (2 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Remy LaCroix (avstånd 0.587); Hög andel misslyckade bilder (82%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Vivienne Del Rio (avstånd 0.587); 1 outlier-embedding(s)"
44;Audrey Elson;Holly Golightly;Hög varians i Audrey Elson och Holly Golightly tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person. | Audrey Elson har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Holly Golightly har 84% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.462;5;7;62%;84%;unknown(8);unknown(38);0.2915;0.2978;0.4641;0;0;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Holly Golightly (avstånd 0.464); Hög andel misslyckade bilder (62%)";"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Audrey Elson (avstånd 0.464); Hög andel misslyckade bilder (84%)"
45;Cindy Black;Yasmine Fitzgerald;Hög varians i Cindy Black tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Cindy Black har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Cindy Black har bara 3 bilder – samla fler träningsbilder.;0.462;3;4;70%;43%;unknown(7);unknown(3);0.3837;0.2124;0.6196;0;0;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Yasmine Fitzgerald (avstånd 0.620); Hög andel misslyckade bilder (70%)";"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Cindy Black (avstånd 0.620)"
46;CJ Wright;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.462;4;;43%;;unknown(3);;0.4711;;0.6452;0;;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen";
47;Uta Kohaku;Hibiki Ohtsuki;Hög varians i Uta Kohaku tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Uta Kohaku har 75% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Hibiki Ohtsuki har 63% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Uta Kohaku har bara 3 bilder – samla fler träningsbilder.;0.461;3;35;75%;63%;unknown(9);unknown(59);0.3156;0.2387;0.5560;0;2;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Hibiki Ohtsuki (avstånd 0.556); Hög andel misslyckade bilder (75%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Uta Kohaku (avstånd 0.556); Hög andel misslyckade bilder (63%); 2 outlier-embedding(s)"
48;Yellow Kitty;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.461;5;;44%;;unknown(4);;0.5190;;0.7329;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
49;Zoe Zeman;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.461;5;;44%;;unknown(4);;0.5948;;0.7051;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
50;Ann Pennington;Donna Edmondson;Hög varians i Ann Pennington tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.458;4;5;33%;50%;unknown(2);unknown(5);0.4836;0.1614;0.6211;0;0;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Donna Edmondson (avstånd 0.621)";"Få träningsbilder (5 st); Ömsesidig förväxling med Ann Pennington (avstånd 0.621)"
