label,count,min,median,mean,max,std,centroid_norm
Jessy Brown,1,9.89603328704834,9.89603328704834,9.89603328704834,9.89603328704834,0.0,9.896032333374023
Jenny Moor,1,9.907718658447266,9.907718658447266,9.907718658447266,9.907718658447266,0.0,9.907719612121582
Yarisa Duran,1,9.915412902832031,9.915412902832031,9.915412902832031,9.915412902832031,0.0,9.915413856506348
Rebecca Lord,1,9.928705215454102,9.928705215454102,9.928705215454102,9.928705215454102,0.0,9.928705215454102
Tarise Taylor,1,9.93892765045166,9.93892765045166,9.93892765045166,9.93892765045166,0.0,9.938928604125977
Amanda Marie,1,9.975820541381836,9.975820541381836,9.975820541381836,9.975820541381836,0.0,9.97581958770752
Dani Moore,1,9.97591781616211,9.97591781616211,9.97591781616211,9.97591781616211,0.0,9.97591781616211
Cherry Tess,1,9.979730606079102,9.979730606079102,9.979730606079102,9.979730606079102,0.0,9.979731559753418
Caroline Pierce,1,10.007022857666016,10.007022857666016,10.007022857666016,10.007022857666016,0.0,10.0070219039917
Alysson Sterling,1,10.02401351928711,10.02401351928711,10.02401351928711,10.02401351928711,0.0,10.024012565612793
Julia Sweet,1,10.027074813842773,10.027074813842773,10.027074813842773,10.027074813842773,0.0,10.027073860168457
Freddie Flavas,1,10.032550811767578,10.032550811767578,10.032550811767578,10.032550811767578,0.0,10.032550811767578
Chyna Bella,1,10.035735130310059,10.035735130310059,10.035735130310059,10.035735130310059,0.0,10.035735130310059
Ivy Mokhov,1,10.047779083251953,10.047779083251953,10.047779083251953,10.047779083251953,0.0,10.047779083251953
Shelby Gibson,51,10.070869445800781,15.039400100708008,14.685489654541016,18.328453063964844,2.065673351287842,14.685489654541016
Eva Amari,1,10.072793006896973,10.072793006896973,10.072793006896973,10.072793006896973,0.0,10.072793006896973
Kelsi Monroe,1,10.084464073181152,10.084464073181152,10.084464073181152,10.084464073181152,0.0,10.084464073181152
